courseNum,courseDept,interest
441,ECE,NANOTECHNOLOGY
444,ECE,NANOTECHNOLOGY
481,ECE,NANOTECHNOLOGY
487,ECE,NANOTECHNOLOGY
488,ECE,NANOTECHNOLOGY
457,CHBE,NANOTECHNOLOGY
442,CHEM,NANOTECHNOLOGY
485,ME,NANOTECHNOLOGY
401,MSE,NANOTECHNOLOGY
487,MSE,NANOTECHNOLOGY
460,PHYS,NANOTECHNOLOGY
486,PHYS,NANOTECHNOLOGY
487,PHYS,NANOTECHNOLOGY
310,ECE,NANOTECHNOLOGY
350,ECE,NANOTECHNOLOGY
