courseNum,courseDept,interest
350,ECE,ELECTROMAGNETICS
451,ECE,ELECTROMAGNETICS
452,ECE,ELECTROMAGNETICS
453,ECE,ELECTROMAGNETICS
459,ECE,ELECTROMAGNETICS
454,ECE,ELECTROMAGNETICS
455,ECE,ELECTROMAGNETICS
460,ECE,ELECTROMAGNETICS
442,ECE,ELECTROMAGNETICS
457,ECE,ELECTROMAGNETICS
458,ECE,ELECTROMAGNETICS
446,Math,ELECTROMAGNETICS
402,sics,ELECTROMAGNETICS
498,ECE,ELECTROMAGNETICS
202,Fall,ELECTROMAGNETICS
