courseNum,courseDept,interest
361,ECE,"NETWORKING, MOBILE, AND DISTRIBUTED COMPUTING"
428,ECE,"NETWORKING, MOBILE, AND DISTRIBUTED COMPUTING"
438,ECE,"NETWORKING, MOBILE, AND DISTRIBUTED COMPUTING"
439,ECE,"NETWORKING, MOBILE, AND DISTRIBUTED COMPUTING"
498,ECE,"NETWORKING, MOBILE, AND DISTRIBUTED COMPUTING"
526,ECE,"NETWORKING, MOBILE, AND DISTRIBUTED COMPUTING"
