crn, instructorFirstName, instructorLastName
74876,C,Lemoine
69393,C,Lemoine
73062,,
40968,,
49099,,
49100,,
58922,,
65292,,
75099,,
75100,,
49101,H,Michelson
31419,L,Gundersen
31395,L,Gundersen
31396,L,Gundersen
72898,S,Sellars
72900,J,Janzen
10044,,
10057,,
41379,,
72902,R,Endres
72903,R,Endres
73014,R,Endres
73015,R,Endres
72901,R,Endres
73096,R,Endres
73097,R,Endres
36772,R,Endres
65659,J,Hinchliffe
65658,D,Planty
65063,L,Karplus
65167,C,Helton
65064,S,Allen
44207,A,Finnegan
53592,N,Paulson
60156,J,Breen
70958,W,Campbell
75104,W,Campbell
75105,W,Campbell
75106,W,Campbell
10068,,
61498,A,Winter-Nelson
52115,C,Lemoine
60144,A,Winter-Nelson
58583,A,Winter-Nelson
57768,C,Lemoine
48924,B,Endres
48925,B,Endres
62829,S,Janzen
64899,S,Irwin
43123,M,Robe
29710,K,Irani
51727,G,Schnitkey
51728,G,Schnitkey
47126,S,Allen
66684,,
56174,W,Ridley
73650,A,Lyons
73276,A,Lyons
36269,A,Lyons
36268,A,Lyons
10074,,
59467,M,Robe
29725,W,Ridley
29727,C,Nelson
36278,B,Gramig
47370,M,Serra Devesa
63336,M,Arends-Kuenning
29715,N,Paulson
48582,N,Paulson
62510,M,Robe
63337,M,Arends-Kuenning
10085,,
67217,P,Christensen
60887,E,Larson
59238,N,Paulson
65581,B,Endres
46046,D,Bullock
41807,N,Paulson
59421,P,Goldsmith
50314,M,Arends-Kuenning
31428,P,Christensen
67392,S,Dall'Erba
10089,,
51577,T,Burkhalter
62120,J,Emmert
75052,M,Dailey
75384,J,Emmert
75388,J,Emmert
51579,J,Emmert
51580,J,Emmert
51581,J,Emmert
51582,J,Emmert
51583,J,Emmert
51584,P,Davidson
51585,J,Emmert
51586,J,Emmert
51587,J,Breen
51588,J,Emmert
51589,J,Emmert
51590,J,Emmert
51591,M,Bohn
51592,J,Emmert
51593,J,Emmert
51594,J,Emmert
51595,T,Burkhalter
51596,J,Emmert
51597,J,Emmert
51598,J,Emmert
51599,J,Emmert
51600,J,Emmert
51601,J,Emmert
51602,T,Burkhalter
68954,J,Emmert
68955,J,Emmert
68956,J,Emmert
72120,J,Emmert
75371,J,Emmert
61977,D,Reid
61978,D,Reid
10094,,
