courseDept,courseNum,id,type
AIS,503,0,PREREQ
AIS,503,1,PREREQ
ALEC,393,0,PREREQ
ALEC,595,0,PREREQ
ALEC,595,1,PREREQ
ANSC,103,0,PREREQ
ANSC,201,0,PREREQ
ANSC,204,0,PREREQ
ANSC,222,0,PREREQ
ANSC,223,0,PREREQ
ANSC,223,1,PREREQ
ANSC,223,2,PREREQ
ANSC,223,3,PREREQ
ANSC,224,0,PREREQ
ANSC,224,1,PREREQ
ANSC,293,0,PREREQ
ANSC,294,0,PREREQ
ANSC,301,0,COREQ
ANSC,301,1,COREQ
ANSC,312,0,PREREQ
ANSC,314,0,PREREQ
ANSC,322,0,PREREQ
ANSC,350,0,PREREQ
ANSC,350,1,PREREQ
ANSC,350,2,PREREQ
ANSC,363,0,PREREQ
ANSC,400,0,PREREQ
ANSC,401,0,PREREQ
ANSC,402,0,PREREQ
ANSC,403,0,PREREQ
ANSC,403,1,PREREQ
ANSC,403,2,PREREQ
ANSC,405,0,PREREQ
ANSC,407,0,PREREQ
ANSC,409,0,PREREQ
ANSC,409,1,PREREQ
ANSC,409,2,PREREQ
ANSC,409,3,PREREQ
ANSC,420,0,PREREQ
ANSC,422,0,PREREQ
ANSC,431,0,PREREQ
ANSC,435,0,PREREQ
ANSC,437,0,PREREQ
ANSC,438,0,PREREQ
ANSC,446,0,PREREQ
ANSC,447,0,PREREQ
ANSC,448,0,PREREQ
ANSC,452,0,PREREQ
ANSC,452,1,PREREQ
ANSC,452,2,PREREQ
ANSC,452,3,PREREQ
ANSC,467,0,PREREQ
ANSC,467,1,PREREQ
ANSC,467,2,PREREQ
ANSC,498,0,PREREQ
ANSC,509,0,PREREQ
ANSC,509,1,PREREQ
ANSC,509,2,PREREQ
ANSC,509,3,PREREQ
ANSC,520,0,PREREQ
ANSC,520,1,PREREQ
ANTH,220,0,PREREQ
ANTH,240,0,PREREQ
ANTH,247,0,PREREQ
ANTH,343,0,PREREQ
ANTH,346,0,PREREQ
ANTH,347,0,PREREQ
ANTH,358,0,PREREQ
ANTH,372,0,PREREQ
ANTH,372,1,PREREQ
ANTH,379,0,PREREQ
ANTH,402,0,PREREQ
ANTH,421,0,PREREQ
ANTH,423,0,PREREQ
ANTH,435,0,PREREQ
ANTH,437,0,PREREQ
ANTH,437,1,PREREQ
ANTH,438,0,PREREQ
