courseDept,courseNum,GPA,title
ADV,305,3.69,"Digital Advertising Content, Technologies and Concepts"
ADV,310,3.21,Intro to Public Relations
ADV,311,3.46,Classic Campaigns
ADV,312,2.9,Advertising History
ADV,320,3.6,Sales Management
ADV,350,3.65,Writing for Public Relations
ADV,370,3.55,Sales and the Consumer
ADV,390,3.05,Content Creation
ADV,393,3.69,Advertising and Society
ADV,400,3.68,Special Problems
ADV,409,3.76,Media Entrepreneurship
ADV,410,3.65,Public Relations Strategies
ADV,460,3.49,Innovation in Advertising
ADV,475,3.07,Multicultural Advertising
ADV,476,3.57,Global Advertising
ADV,478,3.33,Psychology of Advertising
ADV,481,3.03,Advertising Research Methods
ADV,483,3.36,Audience Analysis
ADV,490,3.69,Advanced Special Topics in Advertising
ADV,491,3.46,Advertising Management Plan
ADV,492,3.8,Tech and Advertising Campaigns
ADV,494,3.57,Persuasion Consumer Response
ADV,498,3.83,The Sandage Project
ADV,550,3.51,Foundations of Advertising
ADV,580,3.77,Advertising Theory
ADV,581,3.43,Quanti Research Methods in Adv
ADV,582,3.82,Qualitative Rsrch in Advert
ADV,587,3.67,Graduate Seminar I
ADV,588,3.61,Graduate Seminar II
AE,100,3.75,Intro to Aerospace Engineering
AE,199,3.63,Undergraduate Open Seminar
AE,202,3.4,Aerospace Flight Mechanics
AE,302,3.46,Aerospace Flight Mechanics II
AE,311,3.0,Incompressible Flow
AE,312,2.98,Compressible Flow
AE,321,2.7,Mechs of Aerospace Structures
AE,323,2.94,Applied Aerospace Structures
AE,352,3.17,Aerospace Dynamical Systems
AE,353,3.31,Aerospace Control Systems
AE,370,3.21,Aerospace Numerical Methods
AE,402,3.24,Orbital Mechanics
AE,403,3.49,Spacecraft Attitude Control
AE,410,3.52,Computational Aerodynamics
AE,412,3.43,Viscous Flow & Heat Transfer
AE,416,3.14,Applied Aerodynamics
AE,419,3.19,Aircraft Flight Mechanics
AE,433,3.26,Aerospace Propulsion
AE,434,3.19,Rocket Propulsion
AE,435,3.25,Electric Propulsion
AE,442,3.35,Aerospace Systems Design I
AE,443,3.59,Aerospace Systems Design II
AE,451,3.57,Aeroelasticity
AE,454,3.56,Systems Dynamics & Control
AE,460,3.69,Aerodynamics & Propulsion Lab
AE,461,3.69,Structures & Control Lab
AE,483,3.65,Autonomous Systems Lab
AE,498,3.67,Special Topics
AE,504,3.76,Optimal Aerospace Systems
AE,526,3.55,Composites Manufacturing
AFRO,100,3.44,Intro to African American St
AFRO,101,3.12,"Black America, 1619-Present"
AFRO,103,3.17,Black Women in the Diaspora
AFRO,105,3.32,Black Literature in America
AFRO,132,3.52,African American Music
AFRO,199,3.64,Undergraduate Open Seminar
AFRO,224,3.78,Humanist Persp of Afro-Am Exp
AFRO,226,3.67,Black Women Contemp US Society
AFRO,227,3.46,Studies in Black Television
AFRO,228,3.78,Hip Hop Music: History and Culture
AFRO,231,3.76,Lang Diff Dis: American Persp
AFRO,243,3.49,Pan Africanism
AFRO,261,3.48,Intro to the African Diaspora
AFRO,298,3.85,Spec Topics African-Am Studies
AFRO,342,2.59,Black Men and Masculinities
AFRO,372,3.28,Class Politics & Blk Community
AFRO,378,3.62,Race and Revolutions
AFRO,381,3.79,Black Women and Film
AFRO,383,3.45,Hist of Blk Women's Activism
AFRO,410,3.86,Hate Crimes
AFRO,411,3.35,African American Psychology
AFST,210,3.38,Introduction to Modern African Literature
AFST,222,3.66,Introduction to Modern Africa
AGCM,220,3.54,Communicating Agriculture
AGCM,230,3.53,Agricultural and Environmental Photography
AGCM,270,3.54,Ag Sales and Persuasive Communication
AGCM,315,3.75,Emerging Media
AGCM,320,3.39,Public Information Campaigns
AGCM,330,3.56,Environmental Communications
AGCM,430,3.46,Comm in Env Social Movements
AGED,100,3.69,Intro to Ag & Leadership Ed
AGED,220,3.17,Prog Del in Ag & Leadership Ed
AGED,360,3.64,Advanced Leadership Studies
AGED,421,3.54,Teaching Strategies in AGED
AGED,430,3.84,Youth Development Programs
AGED,499,3.75,Seminar
AGED,550,3.56,Advanced Program Delivery
AGED,551,3.68,Advanced Program Evaluation
AHS,125,3.94,Freshmen Scholars Seminar
AHS,199,3.8,Undergraduate Open Seminar
AHS,365,3.95,Civic Engagement in Wellness
AHS,399,3.87,Advanced Open Seminar
AHS,494,3.77,Special Topics
AIS,101,3.51,Intro to Amer Indian Studies
AIS,140,3.55,Native Religious Traditions
AIS,265,3.57,Intro to American Indian Lit
AIS,275,3.62,Am Indian and Indigenous Film
AIS,285,3.57,Indigenous Thinkers
ANSC,100,3.35,Intro to Animal Sciences
ANSC,101,3.58,Contemporary Animal Issues
ANSC,103,3.96,Working With Farm Animals
ANSC,110,3.69,Life With Animals and Biotech
ANSC,199,3.88,Undergraduate Open Seminar
ANSC,201,3.73,Principles of Dairy Production
ANSC,205,3.7,World Animal Resources
ANSC,206,3.78,Horse Management
ANSC,207,3.49,The Science of Pets and How to Care for Them
ANSC,210,3.37,Grilling and BBQ Science
ANSC,221,2.92,"Cells, Metabolism and Genetics"
ANSC,222,2.62,Anatomy and Physiology
ANSC,223,2.92,Animal Nutrition
ANSC,224,2.86,Animal Reproduction and Growth
ANSC,250,3.65,Companion Animals in Society
ANSC,251,2.86,Epidemics and Infectious Diseases
ANSC,256,3.06,Horse's Role in Human History
ANSC,294,3.97,Intern On Campus Practical Exp
ANSC,298,3.88,Undergraduate Seminar
ANSC,299,3.83,Animal Mgt Field Studies
ANSC,305,3.72,Human Animal Interactions
ANSC,306,3.74,Equine Science
ANSC,307,2.97,Companion Animal Management
ANSC,309,3.64,Meat Production and Marketing
ANSC,322,3.19,Livestock Feeds and Feeding
ANSC,331,3.11,Biology of Reproduction
ANSC,350,3.6,Cellular Metabolism in Animals
ANSC,363,3.76,Behavior of Domestic Animals
ANSC,370,3.32,Companion Animal Policy
ANSC,398,3.91,UG Experiential Learning
ANSC,400,3.85,Dairy Herd Management
ANSC,401,3.72,Beef Production
ANSC,402,3.79,Sheep and Goat Production
ANSC,403,3.64,Pork Production
ANSC,404,3.87,Poultry Science
ANSC,406,3.43,Zoo Animal Conservation Sci
ANSC,407,3.18,Animal Shelter Management
ANSC,409,3.63,Meat Science
ANSC,420,3.07,Ruminant Nutrition
ANSC,421,3.67,Minerals and Vitamins
ANSC,422,3.27,Companion Animal Nutrition
ANSC,424,3.47,Pet Food & Feed Manufacturing
ANSC,431,3.33,Advanced Reproductive Biology
ANSC,437,3.19,Adv Reproductive Management
ANSC,438,3.82,Lactation Biology
ANSC,444,3.69,Applied Animal Genetics
ANSC,445,3.85,Statistical Methods
ANSC,446,3.46,Population Genetics
ANSC,450,3.21,Comparative Immunobiology
ANSC,452,3.64,Animal Growth and Development
ANSC,467,3.76,Applied Animal Ecology
ANSC,498,3.86,Integrating Animal Sciences
ANSC,499,3.6,Seminar
ANSC,520,3.46,Protein and Energy Nutrition
ANSC,542,3.85,Applied Bioinformatics
ANSC,561,3.78,Animal Stress Physiology
ANTH,101,3.2,Introduction to Anthropology
ANTH,102,3.02,Human Origins and Culture
ANTH,103,3.34,Anthro in a Changing World
ANTH,104,3.51,Talking Culture
ANTH,105,3.0,World Archaeology
ANTH,106,3.59,Hist Arch Americas
ANTH,143,3.56,Biology of Human Behavior
ANTH,157,3.22,The Archaeology of Illinois
ANTH,160,3.2,Race and Contemporary Social Issues
ANTH,165,3.62,Lang & Culture Native North Am
ANTH,175,3.37,Archaeology and Pop Culture
ANTH,180,3.33,The Archaeology of Death
